signal_id,channel,direction,signal_received_utc,market_filled_utc,fill_latency_ms,range_arrived_utc,range_delay_sec,tps_arrived_utc,range_low,range_high,market_entry_price,tps_initial,sl_initial,sl_final,range_decision,adverse_action,n_tickets_opened,n_dca_filled,total_lot,mfe_usd,mae_usd,mfe_at,mae_at,n_mgmt_msgs,mgmt_msgs_classified,mgmt_msgs_applied,closed_at_utc,closed_by,duration_sec,total_pnl_usd,tag,notes
canal1_20164,canal1,SELL,2026-06-09T14:15:45.213,2026-06-09T14:15:45.341,127,,,2026-06-09T14:16:19.922,,,4320.56,"[4316.0, 4312.0, 4307.0, 4302.0]",4340.0,4340.0,,rescue_market,4,0,,0.0,0.0,,,2,"[""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true]",2026-06-09T14:42:45.869,RECONCILER,1620.5,39.13,WIN_CLEAN,cierre MT5 detectado por reconciler (monitor no lo registro)
canal2_13537,canal2,SELL,2026-06-09T15:15:58.198,2026-06-09T15:15:58.341,143,2026-06-09T15:16:08.939,10.6,,4296.0,4300.0,4295.21,,,4303.5,A_inside,rescue_market,5,0,,6.59,-6.99,2026-06-09T15:16:19.104+00:00,2026-06-09T15:17:14.921+00:00,3,"[""MOVE_SL_TO_PRICE"", ""INFORMATIONAL"", ""MOVE_SL_TO_BE""]","[true, true, true]",2026-06-09T15:18:20.779,LOSS_BE,142.4,0.0,OTHER,auto-finalize: LOSS_BE×5
canal1_20184,canal1,SELL,2026-06-09T16:03:16.192,2026-06-09T16:03:16.338,146,,,2026-06-09T16:03:55.398,,,4277.59,"[4274.0, 4270.0, 4265.0, 4260.0]",4290.0,4290.0,,rescue_market,4,0,,0.0,0.0,,,5,"[""MOVE_SL_TO_BE"", ""INFORMATIONAL"", ""INFORMATIONAL"", ""GEMINI_FAILED"", ""PROTECT_AND_NOTIFY_AMBIG""]","[true, true, true, false, false]",2026-06-09T16:14:47.281,RECONCILER,690.9,35.83,WIN_CLEAN,cierre MT5 detectado por reconciler (monitor no lo registro)
canal1_20193,canal1,SELL,2026-06-10T09:20:47.508,2026-06-10T09:20:47.676,168,2026-06-10T09:22:36.996,109.3,,4170.0,4173.0,4168.68,,,4190.0,B_favorable,rescue_market,4,0,,12.45,-9.190000000000001,2026-06-10T09:29:03.297+00:00,2026-06-10T09:27:11.327+00:00,3,"[""INFORMATIONAL"", ""MOVE_SL_TO_BE"", ""INFORMATIONAL""]","[true, true, true]",2026-06-10T09:30:35.201,LOSS_BE,587.5,3.19,WIN_SHORT,"auto-finalize: TP1×1, LOSS_BE×3"
canal1_20200,canal1,SELL,2026-06-10T09:43:10.129,2026-06-10T09:43:10.255,125,2026-06-10T09:43:39.301,29.0,,4168.0,4170.0,4168.65,,,4190.0,A_inside,rescue_market,4,0,,12.24,-21.53,2026-06-10T09:53:43.161+00:00,2026-06-10T09:46:47.016+00:00,2,"[""MOVE_SL_TO_BE"", ""MOVE_SL_TO_BE""]","[true, true]",2026-06-10T09:59:57.122,LOSS_BE,1006.9,3.16,WIN_SHORT,"auto-finalize: TP1×1, LOSS_BE×3"
canal2_13564,canal2,BUY,2026-06-10T10:36:31.494,2026-06-10T10:36:31.628,134,2026-06-10T10:36:54.433,22.8,,4162.0,4166.0,4166.75,,,4158.0,A_inside,rescue_market,5,0,,8.639999999999999,0.0,2026-06-10T10:36:59.633+00:00,,3,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""INFORMATIONAL""]","[true, true, true]",2026-06-10T10:38:56.402,LOSS_BE,144.8,1.95,WIN_CLEAN,"auto-finalize: TP1×1, LOSS_BE×4"
canal1_20208,canal1,BUY,2026-06-10T11:47:47.870,2026-06-10T11:47:47.994,124,,,2026-06-10T11:48:54.795,,,4154.24,"[4157.0, 4161.0, 4165.0, 4173.0]",4135.0,4135.0,,rescue_market,4,0,,0.0,0.0,,,1,"[""MOVE_SL_TO_BE""]",[true],2026-06-10T11:55:40.779,RECONCILER,472.8,8.33,WIN_CLEAN,cierre MT5 detectado por reconciler (monitor no lo registro)
canal2_13572,canal2,SELL,2026-06-10T12:03:28.496,2026-06-10T12:03:28.631,135,2026-06-10T12:03:37.177,8.5,,4151.0,4155.0,4150.58,,,4161.0,A_inside,rescue_market,5,0,,12.93,0.0,2026-06-10T12:04:37.763+00:00,,2,"[""MOVE_SL_TO_PRICE"", ""INFORMATIONAL""]","[true, true]",2026-06-10T12:06:03.758,LOSS_BE,155.1,2.24,WIN_CLEAN,"auto-finalize: TP1×1, LOSS_BE×4"
canal1_20212,canal1,BUY,2026-06-10T12:33:11.149,2026-06-10T12:33:11.268,119,2026-06-10T12:33:50.211,38.9,,4158.0,4164.0,4168.17,,,4140.0,B_favorable,rescue_market,4,0,,3.91,-27.840000000000003,2026-06-10T12:37:36.767+00:00,2026-06-10T12:36:11.304+00:00,1,"[""MOVE_SL_TO_BE""]",[true],2026-06-10T12:37:56.956,TP1,285.7,2.41,WIN_SHORT,"auto-finalize: TP1×1, TP2×1, TP3×1, LOSS_BE×1"
canal2_13584,canal2,SELL,2026-06-10T13:00:04.940,2026-06-10T13:00:05.074,133,2026-06-10T13:00:25.962,20.9,,4149.0,4153.0,4149.09,,,4159.0,A_inside,rescue_market,5,0,,0.0,-37.28,,2026-06-10T13:03:12.403+00:00,5,"[""INFORMATIONAL"", ""INFORMATIONAL"", ""MOVE_SL_TO_PRICE"", ""MOVE_SL_TO_BE"", ""CLOSE_FIRST""]","[true, true, true, true, true]",2026-06-10T13:03:42.592,SL,217.5,-8.54,LOSS_CLEAN,"auto-finalize: LOSS_BE×1, SL×4"
